,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
363,0,3,1,3,10,0,20,17,14,20,17
666,0,4,1,4,10,0,20,18,11,17,19
852,0,4,1,3,8,1,17,9,8,10,14
855,0,3,1,5,1,0,0,0,0,0,0
338,0,3,1,3,8,1,15,13,10,6,14
1178,1,2,1,3,15,1,18,15,11,10,13
1473,1,2,1,4,10,0,18,18,17,20,16
1008,0,3,1,4,4,0,15,12,0,9,16
748,0,4,1,3,12,0,0,0,0,0,0
1241,1,2,1,4,1,1,10,0,0,12,11
1248,1,4,1,4,0,1,0,0,0,0,0
1246,1,6,1,14,17,0,0,0,0,0,0
88,0,3,0,7,8,1,0,0,0,0,0
645,0,4,1,4,13,0,0,0,0,0,0
1487,1,3,1,4,10,0,20,19,14,18,17
805,0,2,1,4,0,0,16,5,0,10,11
291,0,2,1,5,5,0,0,0,0,0,7
416,0,2,1,0,0,1,0,0,0,0,0
665,0,4,1,4,0,0,17,9,0,7,13
827,0,2,1,5,0,0,18,13,0,13,12
516,0,3,1,4,11,0,17,16,9,15,15
1159,1,3,1,4,8,0,18,17,13,0,0
675,0,5,1,9,6,0,16,7,0,7,2
942,0,5,1,3,10,0,19,19,8,19,14
794,0,3,1,4,0,0,14,15,0,11,14
1446,1,2,1,5,5,0,0,0,0,0,0
926,0,7,1,3,6,0,18,4,0,3,13
941,0,5,1,3,2,0,18,0,0,9,16
1372,1,5,1,3,0,0,0,2,0,0,12
1501,1,2,1,4,8,0,18,17,17,19,13
408,0,2,1,3,18,0,15,0,0,0,8
1249,1,3,1,4,10,0,18,17,14,17,16
506,0,2,1,4,8,0,19,13,7,15,14
1204,1,6,1,3,14,0,20,16,7,13,12
